Training: Ironclad | 500000 steps | 4 envs | device=mps

  [  0.4%] 2156/500000 | 8 steps/s | ETA 16h33m | iter 26%
  [  0.4%] 2172/500000 | 8 steps/s | ETA 16h34m | iter 27%
  [  0.4%] 2192/500000 | 8 steps/s | ETA 16h33m | iter 27%
  [  0.4%] 2212/500000 | 8 steps/s | ETA 16h33m | iter 27%
  [  0.4%] 2232/500000 | 8 steps/s | ETA 16h32m | iter 27%
  [  0.5%] 2252/500000 | 8 steps/s | ETA 16h32m | iter 27%
  [  0.5%] 2272/500000 | 8 steps/s | ETA 16h31m | iter 28%
  [  0.5%] 2292/500000 | 8 steps/s | ETA 16h31m | iter 28%
  [  0.5%] 2312/500000 | 8 steps/s | ETA 16h30m | iter 28%
  [  0.5%] 2328/500000 | 8 steps/s | ETA 16h31m | iter 28%
  [  0.5%] 2348/500000 | 8 steps/s | ETA 16h30m | iter 29%
  [  0.5%] 2368/500000 | 8 steps/s | ETA 16h30m | iter 29%
  [  0.5%] 2388/500000 | 8 steps/s | ETA 16h29m | iter 29%
  [  0.5%] 2408/500000 | 8 steps/s | ETA 16h28m | iter 29%
  [  0.5%] 2428/500000 | 8 steps/s | ETA 16h28m | iter 30%
  [  0.5%] 2448/500000 | 8 steps/s | ETA 16h27m | iter 30%
  [  0.5%] 2468/500000 | 8 steps/s | ETA 16h26m | iter 30%
  [  0.5%] 2488/500000 | 8 steps/s | ETA 16h26m | iter 30%
  [  0.5%] 2508/500000 | 8 steps/s | ETA 16h25m | iter 31%
  [  0.5%] 2528/500000 | 8 steps/s | ETA 16h24m | iter 31%
  [  0.5%] 2548/500000 | 8 steps/s | ETA 16h23m | iter 31%
  [  0.5%] 2568/500000 | 8 steps/s | ETA 16h23m | iter 31%
  [  0.5%] 2588/500000 | 8 steps/s | ETA 16h23m | iter 32%
  [  0.5%] 2608/500000 | 8 steps/s | ETA 16h23m | iter 32%
  [  0.5%] 2628/500000 | 8 steps/s | ETA 16h23m | iter 32%
  [  0.5%] 2648/500000 | 8 steps/s | ETA 16h23m | iter 32%
  [  0.5%] 2664/500000 | 8 steps/s | ETA 16h23m | iter 33%
  [  0.5%] 2684/500000 | 8 steps/s | ETA 16h23m | iter 33%
  [  0.5%] 2704/500000 | 8 steps/s | ETA 16h23m | iter 33%
  [  0.5%] 2724/500000 | 8 steps/s | ETA 16h22m | iter 33%
  [  0.5%] 2744/500000 | 8 steps/s | ETA 16h22m | iter 33%
  [  0.6%] 2764/500000 | 8 steps/s | ETA 16h21m | iter 34%
  [  0.6%] 2784/500000 | 8 steps/s | ETA 16h20m | iter 34%
  [  0.6%] 2804/500000 | 8 steps/s | ETA 16h20m | iter 34%
  [  0.6%] 2824/500000 | 8 steps/s | ETA 16h20m | iter 34%
  [  0.6%] 2844/500000 | 8 steps/s | ETA 16h19m | iter 35%
  [  0.6%] 2864/500000 | 8 steps/s | ETA 16h18m | iter 35%
  [  0.6%] 2884/500000 | 8 steps/s | ETA 16h18m | iter 35%
  [  0.6%] 2904/500000 | 8 steps/s | ETA 16h17m | iter 35%
  [  0.6%] 2924/500000 | 8 steps/s | ETA 16h17m | iter 36%
  [  0.6%] 2940/500000 | 8 steps/s | ETA 16h18m | iter 36%
  [  0.6%] 2960/500000 | 8 steps/s | ETA 16h17m | iter 36%
  [  0.6%] 2980/500000 | 8 steps/s | ETA 16h17m | iter 36%
  [  0.6%] 2996/500000 | 8 steps/s | ETA 16h18m | iter 37%
  [  0.6%] 3012/500000 | 8 steps/s | ETA 16h18m | iter 37%
  [  0.6%] 3028/500000 | 8 steps/s | ETA 16h19m | iter 37%
  [  0.6%] 3048/500000 | 8 steps/s | ETA 16h19m | iter 37%
  [  0.6%] 3068/500000 | 8 steps/s | ETA 16h19m | iter 37%
  [  0.6%] 3088/500000 | 8 steps/s | ETA 16h19m | iter 38%
  [  0.6%] 3108/500000 | 8 steps/s | ETA 16h18m | iter 38%
